user_id,domain,goal,experience,comm_style,location
0,Frontend,Find co-founder,12,Analytical,Bangalore
1,Product,Hire talent,4,Collaborative,Remote
2,Backend,Find co-founder,5,Storyteller,Mumbai
3,Product,Build network,2,Storyteller,Mumbai
4,Product,Get hired,7,Storyteller,Mumbai
5,Data Science,Get hired,15,Storyteller,Mumbai
6,Backend,Get hired,12,Storyteller,Mumbai
7,Backend,Hire talent,0,Storyteller,Delhi
8,Backend,Build network,5,Direct,Remote
9,Product,Find co-founder,3,Analytical,Bangalore
10,Frontend,Learn & grow,0,Storyteller,Bangalore
11,Backend,Find co-founder,14,Analytical,Bangalore
12,Design,Learn & grow,6,Analytical,Bangalore
13,Product,Find co-founder,8,Direct,Delhi
14,Data Science,Build network,12,Storyteller,Pune
15,Frontend,Learn & grow,3,Collaborative,Remote
16,Design,Hire talent,3,Direct,Mumbai
17,Design,Find co-founder,5,Collaborative,Pune
18,Data Science,Find co-founder,11,Analytical,Bangalore
19,Frontend,Learn & grow,14,Analytical,Pune
20,Product,Hire talent,2,Direct,Remote
21,AI/ML,Hire talent,12,Direct,Mumbai
22,Frontend,Build network,11,Collaborative,Mumbai
23,Data Science,Hire talent,5,Storyteller,Remote
24,Design,Hire talent,6,Collaborative,Remote
25,Product,Hire talent,10,Direct,Bangalore
26,Frontend,Get hired,9,Collaborative,Mumbai
27,AI/ML,Build network,9,Direct,Pune
28,AI/ML,Find co-founder,2,Collaborative,Delhi
29,Backend,Learn & grow,6,Direct,Delhi
30,Backend,Find co-founder,13,Direct,Remote
31,Data Science,Build network,2,Direct,Bangalore
32,Frontend,Learn & grow,12,Storyteller,Delhi
33,Frontend,Build network,12,Collaborative,Mumbai
34,Design,Hire talent,1,Collaborative,Remote
35,Design,Learn & grow,11,Collaborative,Pune
36,Design,Hire talent,13,Direct,Remote
37,Backend,Find co-founder,9,Collaborative,Pune
38,Frontend,Find co-founder,3,Collaborative,Remote
39,Frontend,Learn & grow,11,Direct,Remote
40,AI/ML,Learn & grow,7,Analytical,Remote
41,Backend,Build network,12,Direct,Pune
42,Product,Build network,14,Collaborative,Pune
43,Backend,Hire talent,8,Direct,Remote
44,Product,Learn & grow,6,Analytical,Delhi
45,AI/ML,Find co-founder,0,Direct,Bangalore
46,Data Science,Build network,2,Collaborative,Bangalore
47,Frontend,Build network,12,Analytical,Bangalore
48,AI/ML,Find co-founder,11,Storyteller,Pune
49,Frontend,Build network,13,Collaborative,Pune
